symbol,price
ETHBTC,0.03861000
LTCBTC,0.00106900
BNBBTC,0.00875500
NEOBTC,0.00015440
QTUMETH,0.00096400
EOSETH,0.00018300
SNTETH,0.00000999
BNTETH,0.00019510
BCCBTC,0.07908100
GASBTC,0.00006460
BNBETH,0.22680000
BTCUSDT,68428.00000000
ETHUSDT,2642.09000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00000024
WTCETH,0.00023700
LRCBTC,0.00000189
LRCETH,0.00004914
QTUMBTC,0.00003729
YOYOBTC,0.00000008
OMGBTC,0.00003080
OMGETH,0.00079100
ZRXBTC,0.00000490
ZRXETH,0.00009940
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000013
SNGLSETH,0.00005306
BQXBTC,0.00008703
BQXETH,0.00126350
KNCBTC,0.00000668
KNCETH,0.00039410
FUNBTC,0.00000029
FUNETH,0.00000146
SNMBTC,0.00000057
SNMETH,0.00004986
NEOETH,0.00477500
IOTABTC,0.00000176
IOTAETH,0.00004530
LINKBTC,0.00016780
LINKETH,0.00434900
XVGBTC,0.00000015
XVGETH,0.00000146
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00000382
MDAETH,0.00181150
MTLBTC,0.00001434
MTLETH,0.00068340
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00000707
SNTBTC,0.00000039
ETCETH,0.00732000
ETCBTC,0.00028280
MTHBTC,0.00000023
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000186
ZECBTC,0.00052100
ZECETH,0.01361000
BNTBTC,0.00000794
ASTBTC,0.00000124
ASTETH,0.00006960
DASHBTC,0.00034660
DASHETH,0.00898000
OAXBTC,0.00000210
ICNBTC,0.00005742
BTGBTC,0.00091300
BTGETH,0.05274500
EVXBTC,0.00000274
EVXETH,0.00062490
REQBTC,0.00000143
REQETH,0.00004995
VIBBTC,0.00000103
VIBETH,0.00003450
HSRETH,0.01247400
TRXBTC,0.00000231
TRXETH,0.00005996
POWRBTC,0.00000328
POWRETH,0.00008490
ARKBTC,0.00001679
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00000800
XRPETH,0.00020680
MODBTC,0.00004280
MODETH,0.00116700
ENJBTC,0.00000225
ENJETH,0.00005830
STORJBTC,0.00000921
STORJETH,0.00029910
BNBUSDT,599.10000000
VENBNB,0.14920000
YOYOBNB,0.00059800
POWRBNB,0.00385000
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00000373
KMDETH,0.00020970
NULSBNB,0.01257000
RCNBTC,0.00000074
RCNETH,0.00037604
RCNBNB,0.00347300
NULSBTC,0.00000479
NULSETH,0.00051926
RDNBTC,0.00000447
RDNETH,0.00071530
RDNBNB,0.00623000
XMRBTC,0.00228700
XMRETH,0.04032000
DLTBNB,0.00240000
WTCBNB,0.00180500
DLTBTC,0.00000071
DLTETH,0.00016807
AMBBTC,0.00000010
AMBETH,0.00004100
AMBBNB,0.00068500
BCCETH,2.47246000
BCCUSDT,448.70000000
BCCBNB,54.29000000
BATBTC,0.00000258
BATETH,0.00010630
BATBNB,0.00183100
BCPTBTC,0.00000048
BCPTETH,0.00008181
BCPTBNB,0.00116200
ARNBTC,0.00000761
ARNETH,0.00029362
GVTBTC,0.00001792
GVTETH,0.00384600
CDTBTC,0.00000317
CDTETH,0.00005119
GXSBTC,0.00004581
GXSETH,0.00062460
NEOUSDT,10.57000000
NEOBNB,0.03836000
POEBTC,0.00000005
POEETH,0.00000664
QSPBTC,0.00000076
QSPETH,0.00002249
QSPBNB,0.00052350
BTSBTC,0.00000043
BTSETH,0.00009498
BTSBNB,0.00144800
XZCBTC,0.00013550
XZCETH,0.00310000
XZCBNB,0.26750000
LSKBTC,0.00001206
LSKETH,0.00033730
LSKBNB,0.06494000
TNTBTC,0.00000261
TNTETH,0.00000920
FUELBTC,0.00000026
FUELETH,0.00002221
MANABTC,0.00000494
MANAETH,0.00012780
BCDBTC,0.00001351
BCDETH,0.00251000
DGDBTC,0.00393100
DGDETH,0.19260000
IOTABNB,0.00071700
ADXBTC,0.00000236
ADXETH,0.00006119
ADXBNB,0.00492900
ADABTC,0.00000513
ADAETH,0.00013270
PPTBTC,0.00001855
PPTETH,0.00141000
CMTBTC,0.00000028
CMTETH,0.00000625
CMTBNB,0.00057700
XLMBTC,0.00000141
XLMETH,0.00003657
XLMBNB,0.00030360
CNDBTC,0.00000006
CNDETH,0.00002599
CNDBNB,0.00033990
LENDBTC,0.00004512
LENDETH,0.00137174
WABIBTC,0.00000030
WABIETH,0.00040308
WABIBNB,0.00024130
LTCETH,0.02767000
LTCUSDT,73.10000000
LTCBNB,0.12190000
TNBBTC,0.00000007
TNBETH,0.00000752
WAVESBTC,0.00001626
WAVESETH,0.00029800
WAVESBNB,0.00513000
GTOBTC,0.00000077
GTOETH,0.00003197
GTOBNB,0.00035200
ICXBTC,0.00000209
ICXETH,0.00011790
ICXBNB,0.00465400
OSTBTC,0.00000032
OSTETH,0.00000225
OSTBNB,0.00052500
ELFBTC,0.00000558
ELFETH,0.00014520
AIONBTC,0.00000139
AIONETH,0.00002645
AIONBNB,0.00261300
NEBLBTC,0.00001200
NEBLBNB,0.01356000
BRDBTC,0.00000127
BRDETH,0.00001688
BRDBNB,0.00247000
MCOBNB,0.26837000
EDOBTC,0.00005609
EDOETH,0.00226600
WINGSBTC,0.00001193
WINGSETH,0.00033460
NAVBTC,0.00000277
NAVETH,0.00011870
NAVBNB,0.00423700
LUNBTC,0.00008510
LUNETH,0.00489100
TRIGBTC,0.00001980
TRIGETH,0.00059400
TRIGBNB,0.01218000
APPCBTC,0.00000055
APPCETH,0.00014600
APPCBNB,0.00189100
VIBEBTC,0.00000042
VIBEETH,0.00005720
RLCBTC,0.00002252
RLCETH,0.00058370
RLCBNB,0.03344000
INSBTC,0.00000618
INSETH,0.00050100
PIVXBTC,0.00000292
PIVXBNB,0.01660000
IOSTBTC,0.00000010
IOSTETH,0.00000372
CHATBTC,0.00000195
CHATETH,0.00006585
STEEMBTC,0.00000264
STEEMETH,0.00006850
STEEMBNB,0.00448000
NANOBTC,0.00006280
NANOETH,0.00090500
NANOBNB,0.05589000
VIABTC,0.00000681
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000187
BLZETH,0.00004159
BLZBNB,0.00062190
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
NCASHETH,0.00000013
NCASHBNB,0.00006790
POABTC,0.00000041
POAETH,0.00004891
POABNB,0.00092100
ZILBTC,0.00000022
ZILETH,0.00000572
ZILBNB,0.00008858
ONTBTC,0.00000284
